Offer                                        Publisher                         Sku                                             Urn                                                                                                                     Version
palcentoslecvmimagewipfli                    cloudsecurity                     palcentoslecvmimagewipfli                       cloudsecurity:palcentoslecvmimagewipfli:palcentoslecvmimagewipfli:1.0.2                                                 1.0.2
palcentoslecvmimagewipfli                    cloudsecurity                     palcentoslecvmimagewipfli                       cloudsecurity:palcentoslecvmimagewipfli:palcentoslecvmimagewipfli:1.0.3                                                 1.0.3
apache-web-server-with-centos-75             cloudwhizsolutions                apache-web-server-with-centos-75                cloudwhizsolutions:apache-web-server-with-centos-75:apache-web-server-with-centos-75:1.2019.1009                        1.2019.1009
centos-7-8-cm                                cloudmavensolutions               centos-7-8-cm                                   cloudmavensolutions:centos-7-8-cm:centos-7-8-cm:1.2020.0711                                                             1.2020.0711
apache-web-server-with-centos-76             cloudwhizsolutions                apache-web-server-with-centos-76                cloudwhizsolutions:apache-web-server-with-centos-76:apache-web-server-with-centos-76:1.2019.1009                        1.2019.1009
centos-7-9-cm                                cloudmavensolutions               centos-7-9-cm                                   cloudmavensolutions:centos-7-9-cm:centos-7-9-cm:1.2020.0711                                                             1.2020.0711
centos-6-10-cw                               cloudwhizsolutions                centos-6-10-cw                                  cloudwhizsolutions:centos-6-10-cw:centos-6-10-cw:1.2019.0711                                                            1.2019.0711
centos-7-9-cm-free                           cloudmavensolutions               centos-7-9-cm-free                              cloudmavensolutions:centos-7-9-cm-free:centos-7-9-cm-free:1.2020.0712                                                   1.2020.0712
1-click-secured-joomla-on-centos-7-3         cognosys                          secured-joomla-on-centos-7-3                    cognosys:1-click-secured-joomla-on-centos-7-3:secured-joomla-on-centos-7-3:1.2.1                                        1.2.1
centos-6-5-cw                                cloudwhizsolutions                centos-6-5-cw                                   cloudwhizsolutions:centos-6-5-cw:centos-6-5-cw:1.2019.0011                                                              1.2019.0011
centos-8-0-cm                                cloudmavensolutions               centos-8-0-cm                                   cloudmavensolutions:centos-8-0-cm:centos-8-0-cm:1.2020.0711                                                             1.2020.0711
apache-web-server-with-centos-7-8            cognosys                          apache-web-server-with-centos-7-8               cognosys:apache-web-server-with-centos-7-8:apache-web-server-with-centos-7-8:1.2019.1009                                1.2019.1009
centos-6-9-cw                                cloudwhizsolutions                centos-6-9-cw                                   cloudwhizsolutions:centos-6-9-cw:centos-6-9-cw:1.2019.0711                                                              1.2019.0711
centos-8-1-cm                                cloudmavensolutions               centos-8-1-cm                                   cloudmavensolutions:centos-8-1-cm:centos-8-1-cm:1.2020.0711                                                             1.2020.0711
apache-web-server-with-centos-7-9            cognosys                          apache-web-server-with-centos-7-9               cognosys:apache-web-server-with-centos-7-9:apache-web-server-with-centos-7-9:1.2019.1009                                1.2019.1009
centos-7-4-cw                                cloudwhizsolutions                centos7-4-cw                                    cloudwhizsolutions:centos-7-4-cw:centos7-4-cw:1.2019.0714                                                               1.2019.0714
centos-8-2-cm                                cloudmavensolutions               centos-8-2-cm                                   cloudmavensolutions:centos-8-2-cm:centos-8-2-cm:1.2019.0711                                                             1.2019.0711
apache-web-server-with-centos-75             cognosys                          apache-web-server-with-centos-75                cognosys:apache-web-server-with-centos-75:apache-web-server-with-centos-75:1.2019.1009                                  1.2019.1009
centos-8-stream-cm                           cloudmavensolutions               centos-stream-8-cm                              cloudmavensolutions:centos-8-stream-cm:centos-stream-8-cm:1.2019.0711                                                   1.2019.0711
apache-web-server-with-centos-75-free        cognosys                          apache-web-server-with-centos-75-free           cognosys:apache-web-server-with-centos-75-free:apache-web-server-with-centos-75-free:1.2019.1009                        1.2019.1009
centos-7-7-cw                                cloudwhizsolutions                centos-7-7-cw                                   cloudwhizsolutions:centos-7-7-cw:centos-7-7-cw:1.2019.0711                                                              1.2019.0711
centos-7-7-cw                                cloudwhizsolutions                centos-7-7-cw                                   cloudwhizsolutions:centos-7-7-cw:centos-7-7-cw:1.2020.0714                                                              1.2020.0714
docker-ce-on-centos-7-8-cm                   cloudmavensolutions               docker-ce-on-centos-7-8-cm                      cloudmavensolutions:docker-ce-on-centos-7-8-cm:docker-ce-on-centos-7-8-cm:1.2020.0710                                   1.2020.0710
apache-web-server-with-centos-76             cognosys                          apache-web-server-with-centos-76                cognosys:apache-web-server-with-centos-76:apache-web-server-with-centos-76:1.2019.1009                                  1.2019.1009
centos-7-7-cw-1                              cloudwhizsolutions                centos-7-7-cw-1                                 cloudwhizsolutions:centos-7-7-cw-1:centos-7-7-cw-1:1.2019.0711                                                          1.2019.0711
docker-ce-with-centos-7-7-cm                 cloudmavensolutions               docker-ce-with-centos-7-7-cm                    cloudmavensolutions:docker-ce-with-centos-7-7-cm:docker-ce-with-centos-7-7-cm:1.2020.0710                               1.2020.0710
apache-web-server-with-centos-76-free        cognosys                          apache-web-server-with-centos-76-free           cognosys:apache-web-server-with-centos-76-free:apache-web-server-with-centos-76-free:1.2019.1009                        1.2019.1009
centos-7-8-cw                                cloudwhizsolutions                centos-7-8-cw                                   cloudwhizsolutions:centos-7-8-cw:centos-7-8-cw:1.2019.0711                                                              1.2019.0711
